name,reg,lamb,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant,celoss,wd,job_id,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
resnet32,5,0.001,0.1,0.0327224871911408,0.1534371376037597,0.2445405125617981,0.9197999999981604,0.9973999999980052,0.3894880712032318,0.1752180606126785,0.2854081094264984,0.1000000014901161,0.0013425648212432,0,0.0005,42318077_12,True,cifar10_resnet32,0.3894880712032318,0.0232690665870904,3.889435902237892e-07,0.1534373462200164,0.0010000000474974,0.0330002486540778,0,0.2445405125617981,0.9197999999981604,0.9973999999980052,0.2854081094264984,0.00747452955693,0.0015846204478293,7.988091965671629e-07,0.2526295483112335,0.0010000000474974,0.0074689776820268,0,0.6100485920906067,0.9769777777775608,0.9999999999997778,0.0014300760813057
resnet32,3,0.001,0.1,0.0494932401677859,0.1116303130984306,0.3103985786437988,0.8715999999982568,0.9967999999980064,0.446799486875534,0.223089799284935,0.3803710639476776,0.1000000014901161,0.0018084719777107,0,0.0005,42318077_0,True,cifar10_resnet32,0.446799486875534,0.0270688012242317,4.799221642315388e-07,0.1116302460432052,0.0010000000474974,0.0496072344233908,0,0.3103985786437988,0.8715999999982568,0.9967999999980064,0.3803710341453552,0.0358325764536857,0.004749831277877,5.466281436383724e-07,0.1791580021381378,0.0010000000474974,0.0358364500339016,0,0.2792673707008362,0.9042666666664658,0.9985555555553336,0.0122669078409671
resnet32,4,0.001,0.1,0.0335722563620433,0.3684201836585998,0.4845708012580871,0.9331999999981336,0.996999999998006,0.684508204460144,0.1591664105653762,0.217117890715599,0.1000000014901161,0.0010355859994888,0,0.0005,42318077_6,True,cifar10_resnet32,0.684508204460144,0.0203477498143911,7.237540557980537e-07,0.3684201240539551,0.0010000000474974,0.0334683982488064,0,0.4845708012580872,0.9331999999981336,0.996999999998006,0.217117890715599,0.0005583248566836,0.0002792512532323,5.583248707807797e-07,0.4968995153903961,0.0010000000474974,0.0005576510845518,0,0.8013150095939636,0.9989111111108891,0.9999999999997778,5.6932633015094325e-05
resnet32,5,0.01,0.1,0.0327811214908964,0.1515879929065704,0.8254684805870056,0.9187999999981624,0.9971999999980056,0.3871995806694031,0.1757512092590332,0.2813621163368225,0.1000000014901161,0.0013282932341098,0,0.0005,42318077_13,True,cifar10_resnet32,0.3871996104717254,0.0689411014318466,1.4382880181074142e-05,0.1515884399414062,0.0099999997764825,0.0332916937602,0,0.8254684805870056,0.9187999999981624,0.9971999999980056,0.2813621163368225,0.0074081225320696,0.0042409570887684,6.483023753389716e-07,0.2493322193622589,0.0099999997764825,0.0074041995575508,0,0.4001820087432861,0.9773777777775606,0.9999999999997778,0.0013578073121607
resnet32,4,0.1,0.1,0.0331672249196036,0.3669212758541107,0.4644254446029663,0.9285999999981428,0.9977999999980044,0.6901045441627502,0.1582883149385452,0.2143287062644958,0.1000000014901161,0.0010220631957054,0,0.0005,42318077_8,True,cifar10_resnet32,0.6901045441627502,0.1582883894443512,0.0010220631957054,0.3669211268424988,0.1000000014901161,0.0334126260895856,0,0.4644255340099334,0.9285999999981428,0.9977999999980044,0.2143287062644958,0.0005596918636001,0.0005605476326309,6.560730980709195e-07,0.4968684315681457,0.1000000014901161,0.000560318013593,0,0.6773432493209839,0.9988444444442224,0.9999999999997778,5.4103620641399175e-05
resnet32,3,2.0,0.1,0.0356420807362206,0.1389598101377487,0.2400476932525634,0.9075999999981847,0.997999999998004,0.3906910121440887,0.1854094862937927,0.2811905145645141,0.1000000014901161,0.0013379305601119,0,0.0005,42318077_5,True,cifar10_resnet32,0.3906910419464111,0.3573929667472839,0.2770037651062011,0.1389590948820114,2.0,0.0360059920518374,0,0.2400476336479187,0.9075999999981847,0.997999999998004,0.2811904847621918,0.0143293878063559,0.0143477134406566,0.0043410342186689,0.2194729894399643,2.0,0.0143263856528272,0,0.3690328896045685,0.9561999999997876,0.9999999999997778,0.0025791469961404
resnet32,5,0.1,0.1,0.0350991880345682,0.1549580693244934,0.2806514501571655,0.915999999998168,0.9963999999980072,0.3978264927864074,0.1776658594608307,0.2924720048904419,0.1000000014901161,0.0013762824237346,0,0.0005,42318077_14,True,cifar10_resnet32,0.3978264927864074,0.177665889263153,0.0013762786984443,0.1549578756093979,0.1000000014901161,0.0349526683625159,0,0.2806518077850342,0.915999999998168,0.9963999999980072,0.2924720346927643,0.0071989330463111,0.0071990462020039,6.544985808432102e-06,0.2574205100536346,0.1000000014901161,0.0071957087066084,0,0.398317277431488,0.9776888888886716,0.9999999999997778,0.0013087852858006
resnet32,4,0.5,0.1,0.0328854252419851,0.3456668853759765,0.4598518013954162,0.9303999999981392,0.9957999999980084,0.6472943425178528,0.1567988246679306,0.2172356843948364,0.1000000014901161,0.001033529639244,0,0.0005,42318077_9,True,cifar10_resnet32,0.6472943425178528,0.2614290714263916,0.021531730890274,0.3456666469573974,0.5,0.032418022195432,0,0.4598515927791595,0.9303999999981392,0.9957999999980084,0.2172356694936752,0.0006321610999293,0.0006370145129039,8.997420081868768e-06,0.4800546765327453,0.5,0.0006314069599245,0,0.8014012575149536,0.9986444444442226,0.9999999999997778,6.964437488932163e-05
resnet32,0,0.0,0.1,0.0295964813643233,0.3869028091430664,0.4890193343162536,0.9377999999981244,0.9975999999980047,0.6990835070610046,0.1486877351999282,0.1893605440855026,0.1000000014901161,0.0009052455425262,0,0.0005,42318053,True,cifar10_resnet32,0.6990834474563599,0.0003648565034382,0.0,0.3869031369686126,0.0,0.0297905205600022,0,0.4890193939208984,0.9377999999981244,0.9975999999980047,0.189360573887825,0.0005879823584109,6.120352281868691e-06,0.0,0.5086835622787476,0.0,0.0005872515609551,0,0.6802637577056885,0.998488888888667,0.9999999999997778,7.080426439642906e-05
resnet56,3,0.01,0.1,0.0471232258479119,0.1327014714479446,0.2347320318222046,0.8847999999982304,0.9963999999980072,0.4455739557743072,0.214066207408905,0.3528387248516083,0.1000000014901161,0.0016801990568637,0,0.0005,42318077_1,True,cifar10_resnet56,0.445574015378952,0.0789477676153183,1.733936369419098e-05,0.1327014565467834,0.0099999997764825,0.0470236755672417,0,0.2347325682640075,0.8847999999982304,0.9963999999980072,0.3528387546539306,0.0299173071980476,0.0119083914905786,6.730260793119669e-07,0.1962137967348098,0.0099999997764825,0.0299148997804086,0,0.3063196539878845,0.9180444444442404,0.9991333333331114,0.0094588752835989
