name,wd,reg,lamb,celoss,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet44-reg:3,lamb:0.001",0.5,3,0.001,1,43253683_0,True,True,cifar10_resnet44,2.302605390548706,0.000112281210022,4.356261342763901e-07,0.0031491294503211,0.0010000000474974,2.3026153552940047,0,0.0031491294503211,0.0973999999998052,0.4951999999990096,6.245505574042909e-06,2.302586555480957,0.0001132069373852,4.167668521404267e-07,0.0002859830856323,0.0010000000474974,2.302586594635008,0,0.0002859830856323,0.1002888888888666,0.5005333333332221,6.342483175103553e-06
"resnet32-reg:4,lamb:0.5",0.001,4,0.5,1,43253683_9,True,True,cifar10_resnet32,0.2341822683811187,0.2340814471244812,0.0620612651109695,0.0354737192392349,0.5,0.2326371847420035,0,0.1852326989173889,0.9365999999981268,0.9977999999980044,1.028432846069336,0.0079518277198076,0.0076894741505384,0.0003033140674233,0.0059633520431816,0.5,0.0079488054162073,0,0.7388515472412109,0.999399999999778,0.9999999999997778,0.0031637283973395
"resnet44-reg:3,lamb:0.5",0.001,3,0.5,1,43253683_3,True,True,cifar10_resnet44,0.2652222216129303,0.2642287313938141,0.0516575127840042,0.0211683139204978,0.5,0.2669176718748171,0,0.2626024484634399,0.9121999999981756,0.9973999999980052,0.7143725156784058,0.1189395189285278,0.1174647286534309,0.0129161477088928,0.0219439659267663,0.5,0.1189329046476789,0,0.1185502409934997,0.961044444444231,0.9997777777775556,0.141762763261795
"resnet44-reg:3,lamb:1.0",0.0005,3,1.0,1,43253683_4,True,True,cifar10_resnet44,0.2485945671796798,0.2485850006341934,0.1576617211103439,0.0348573923110961,1.0,0.2464631675441573,0,0.2652392089366913,0.9235999999981528,0.9975999999980047,0.9326687455177308,0.0353362262248992,0.0353115051984787,0.0091578662395477,0.0129664158448576,1.0,0.0353506467422619,0,0.2078027427196502,0.9905111111108912,0.9999777777775556,0.028793565928936
"resnet44-reg:3,lamb:0.1",0.005,3,0.1,1,43253683_2,True,True,cifar10_resnet44,0.9123169779777528,0.382284015417099,0.004512183368206,0.0257603581994771,0.1000000014901161,0.9122483368127052,0,0.0621810257434845,0.6685999999986628,0.9755999999980488,0.9516135454177856,0.957456350326538,0.3693843483924866,0.004101350903511,0.0609644763171672,0.1000000014901161,0.9575052176142812,0,0.0946712493896484,0.6640666666665191,0.9708888888886732,0.8557636141777039
"resnet44-reg:3,lamb:2.0",0.00025,3,2.0,1,43253683_5,True,True,cifar10_resnet44,0.3099604845046997,0.3099702000617981,0.5082962512969971,0.047606386244297,2.0,0.3096413357497775,0,0.2453980445861816,0.9203999999981592,0.9981999999980036,1.5037665367126465,0.0152777768671512,0.0152847720310091,0.0096948817372322,0.0075960997492074,2.0,0.0152898957409717,0,0.7057980895042419,0.996733333333112,0.9999999999997778,0.009638799354434
"resnet44-reg:4,lamb:0.001",0.5,4,0.001,1,43253683_6,True,True,cifar10_resnet44,2.302604913711548,2.781745934044011e-05,4.353933036327362e-07,0.0048957988619804,0.0010000000474974,2.302603994648716,0,0.0048957988619804,0.0951999999998096,0.4867999999990264,3.873151115385554e-07,2.3025829792022705,2.7548936486709863e-05,4.1374005377292633e-07,0.0004358887672424,0.0010000000474974,2.302583298769082,0,0.0004358887672424,0.100533333333311,0.5014666666665553,3.8473496033475385e-07
"resnet44-reg:4,lamb:0.01",0.05,4,0.01,1,43253683_7,True,True,cifar10_resnet44,2.302663326263428,0.00033449876355,1.657754182815552e-07,0.005143716931343,0.0099999997764825,2.302659128945106,0,0.005143716931343,0.0951999999998096,0.4867999999990264,5.666900506184902e-06,2.302579402923584,0.0003330121107865,2.831220626831055e-07,0.0001686438918113,0.0099999997764825,2.3025795829613407,0,0.0001686438918113,0.100533333333311,0.5014666666665553,5.621287073154235e-06
"resnet44-reg:4,lamb:0.1",0.005,4,0.1,1,43253683_8,True,True,cifar10_resnet44,0.2971690595149994,0.2632898390293121,0.003704484552145,0.0306604728102684,0.1000000014901161,0.2961814215788513,0,0.1453910171985626,0.905999999998188,0.9963999999980072,0.8391786813735962,0.0916633903980255,0.0741903036832809,0.0004678759723901,0.0266346000134944,0.1000000014901161,0.0916634194966478,0,0.192696213722229,0.97486666666645,0.9998444444442224,0.1007945388555526
"resnet56-reg:3,lamb:0.01",0.05,3,0.01,1,43253683_1,True,True,cifar10_resnet56,2.30260705947876,0.0005309312837198,5.569308996200562e-07,4.445761442184448e-05,0.0099999997764825,2.3025957215240256,0,4.445761442184448e-05,0.1005999999997988,0.501999999998996,1.4376896615431178e-05,2.3025906085968018,0.0005262524937279,3.9301812648773193e-07,0.0006491616368293,0.0099999997764825,2.302590479774126,0,0.0006491616368293,0.0999333333333111,0.4997777777776667,1.4092381206864957e-05
"resnet44-reg:4,lamb:0.5",0.001,4,0.5,1,43253683_9,True,True,cifar10_resnet44,0.2320505380630493,0.2319386899471283,0.0639193654060363,0.0350217632949352,0.5,0.233075848850299,0,0.2892998456954956,0.940999999998118,0.9971999999980056,1.087829351425171,0.004998916760087,0.0047205919399857,0.0001352997496724,0.003951923456043,0.5,0.0050138200363152,0,0.6951402425765991,0.9997111111108892,0.9999999999997778,0.0012858916306868
"resnet56-reg:3,lamb:0.001",0.5,3,0.001,1,43253683_0,True,True,cifar10_resnet56,2.302579164505005,8.128344779834151e-05,4.095491021871567e-07,0.0030501261353492,0.0010000000474974,2.3025724757125747,0,0.0030501261353492,0.0971999999998056,0.500999999998998,3.3085896120610414e-06,2.302587985992432,8.101034472929314e-05,4.1816383600234985e-07,4.384666681289673e-05,0.0010000000474974,2.302587777245346,0,4.384666681289673e-05,0.1003111111110888,0.4998888888887778,3.29617705574492e-06
