,model,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
40,resnet32,3,0.1,0.1,1.3022618163536026,0.05392969772219658,0.12200358510017395,0.62199999999378,0.89599999999104,1.3022620677947998,0.638742208480835,2.708747625350952,0.10000000149011612,0.012391164898872375,0.1,1.228717537680304,0.03966666758060455,0.08781035244464874,0.647333333332614,0.8965555555545593,1.228717565536499,0.6371071934700012,2.8419361114501953,0.10000000149011612,0.012751936912536621
41,resnet32,4,0.5,0.1,1.240230905528294,0.11723493039608002,0.2646641731262207,0.70099999999299,0.91199999999088,1.2402311563491821,0.794076144695282,4.719018936157227,0.10000000149011612,0.02019946277141571,0.1,1.2637904338569848,0.12294360995292664,0.24467521905899048,0.7051111111103275,0.9146666666656503,1.2637903690338135,0.8294113278388977,5.3566460609436035,0.10000000149011612,0.022349387407302856
42,resnet32,4,0.1,0.1,1.4163501121029785,0.14952053129673004,0.3145875930786133,0.67699999999323,0.91099999999089,1.4163498878479004,0.905907928943634,6.294787406921387,0.10000000149011612,0.02601008117198944,0.1,1.288995940047783,0.12925830483436584,0.25139451026916504,0.7048888888881056,0.9156666666656492,1.2889958620071411,0.8527864813804626,5.658629417419434,0.10000000149011612,0.023504287004470825
43,resnet32,4,0.001,0.1,1.3714138132283058,0.1471720039844513,0.2882217764854431,0.6809999999931899,0.91699999999083,1.3714138269424438,0.88258296251297,6.058213233947754,0.10000000149011612,0.024936825037002563,0.1,1.2925904047697074,0.13574671745300293,0.2607877850532532,0.7024444444436639,0.9139999999989844,1.2925904989242554,0.8518157005310059,5.550645351409912,0.10000000149011612,0.023250505328178406
44,resnet32,4,0.01,0.1,1.3548673255855432,0.15261566638946533,0.29316502809524536,0.67199999999328,0.9059999999909399,1.3548672199249268,0.8441550731658936,5.161674499511719,0.10000000149011612,0.02218259871006012,0.1,1.2925387474109595,0.1311720907688141,0.2735387086868286,0.7049999999992166,0.9118888888878756,1.2925387620925903,0.8581730127334595,5.718001842498779,0.10000000149011612,0.023758426308631897
45,resnet32,4,2.0,0.1,1.3751289707000043,0.128390371799469,0.2184876799583435,0.66699999999333,0.90399999999096,1.3751291036605835,0.8443900942802429,5.462996006011963,0.10000000149011612,0.0227968692779541,0.1,1.2991315376893804,0.12682896852493286,0.2559925615787506,0.6878888888881245,0.9134444444434294,1.2991315126419067,0.8289021849632263,5.30226469039917,0.10000000149011612,0.022193744778633118
46,resnet32,3,1.0,0.1,1.1713094594172766,0.06954388320446014,0.11735355854034424,0.6599999999934,0.9309999999906899,1.1713095903396606,0.6366252899169922,2.9587464332580566,0.10000000149011612,0.01310177892446518,0.1,1.147592053197927,0.056389257311820984,0.12507861852645874,0.6773333333325807,0.9145555555545393,1.1475920677185059,0.6486179232597351,3.180788993835449,0.10000000149011612,0.013872869312763214
47,resnet32,5,0.01,0.1,1.1668537738462939,0.09223529696464539,0.19730353355407715,0.69299999999307,0.91899999999081,1.1668537855148315,0.6889330148696899,3.487433671951294,0.10000000149011612,0.01528119295835495,0.1,1.1226274822265199,0.08179548382759094,0.14351344108581543,0.6983333333325573,0.91799999999898,1.12262761592865,0.6826753616333008,3.5378482341766357,0.10000000149011612,0.015315093100070953
48,resnet32,5,0.001,0.1,1.1413781528776004,0.08688372373580933,0.18023157119750977,0.67899999999321,0.91699999999083,1.1413782835006714,0.6668652892112732,3.268709182739258,0.10000000149011612,0.01437348872423172,0.1,1.1064848357727968,0.07708387076854706,0.15081411600112915,0.6992222222214453,0.9203333333323107,1.1064847707748413,0.6722415089607239,3.4478142261505127,0.10000000149011612,0.014943450689315796
49,resnet32,4,1.0,0.1,1.2286182519121207,0.1306963860988617,0.2664424479007721,0.6899999999931,0.91599999999084,1.2286185026168823,0.7837339043617249,4.59909200668335,0.10000000149011612,0.019720539450645447,0.1,1.289669922879201,0.12988755106925964,0.24435430765151978,0.6956666666658936,0.9122222222212085,1.2896699905395508,0.8400949239730835,5.503376483917236,0.10000000149011612,0.022872641682624817
