id,name,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
53,vgg19_bn,5,0.001,0.1,0.3338273730273879,0.052358970046043396,0.3246200382709503,0.92299999999077,0.99699999999003,0.3338273763656616,0.3287293016910553,1.7354004383087158,0.10000000149011612,0.007047496736049652,0.1,0.29216254056151214,0.04751262813806534,0.28809964656829834,0.9274444444434139,0.9966666666655591,0.29216253757476807,0.2882402539253235,1.3818706274032593,0.10000000149011612,0.0057291630655527115
54,vgg19_bn,4,0.01,0.1,0.4157083588990993,0.06030883267521858,0.680921733379364,0.93399999999066,0.99699999999003,0.41570836305618286,0.4153238534927368,2.9580531120300293,0.10000000149011612,0.011633574962615967,0.1,0.34921558659216656,0.050549689680337906,0.6648005843162537,0.9378888888878467,0.9956666666655603,0.3492155969142914,0.34888121485710144,2.318530797958374,0.10000000149011612,0.009187616407871246
55,vgg19_bn,3,0.001,0.1,2.3028738268400364,0.009231634438037872,0.009231634438037872,0.09299999999907,0.50299999999497,2.3028740882873535,0.005363320931792259,0.000133652298245579,0.10000000149011612,8.046627044677734e-07,0.1,2.3026313491243955,0.0014558583498001099,0.0014558583498001099,0.10077777777766579,0.4996666666661114,2.302631378173828,0.0054979873821139336,0.0001411690900567919,0.10000000149011612,1.3262033462524414e-06
56,vgg19_bn,3,1.0,0.1,2.3027605780160956,0.008305467665195465,0.008305467665195465,0.09299999999907,0.49199999999508,2.302760601043701,0.0028115666937083006,3.614818342612125e-05,0.10000000149011612,-2.9802322387695312e-08,0.1,2.3025861820491826,0.0005365610122680664,0.0005365610122680664,0.10077777777766579,0.5008888888883323,2.302586317062378,0.0028633701149374247,3.77142132492736e-05,0.10000000149011612,6.407499313354492e-07
57,repvgg_a2,3,2.0,0.1,0.2394773936165786,0.03245057538151741,0.34970104694366455,0.94699999999053,0.99799999999002,0.23947741091251373,0.23674185574054718,1.4177979230880737,0.10000000149011612,0.005437878891825676,0.1,0.22625964358144288,0.03256216272711754,0.2623276114463806,0.9429999999989521,0.99788888888778,0.22625966370105743,0.22383812069892883,1.134703516960144,0.10000000149011612,0.004584355279803276
58,repvgg_a2,3,0.1,0.1,0.24738618484112535,0.028934001922607422,0.3478650450706482,0.92899999999071,0.99799999999002,0.24738621711730957,0.22870105504989624,0.9741225838661194,0.10000000149011612,0.0038917791098356247,0.1,0.23834769070156342,0.02817564085125923,0.13883620500564575,0.9216666666656426,0.9981111111100021,0.23834770917892456,0.22047346830368042,0.7400811910629272,0.10000000149011612,0.003178184852004051
59,repvgg_a2,5,0.01,0.1,0.19546186728518847,0.026838500052690506,0.30259573459625244,0.9499999999905,0.99899999999001,0.19546186923980713,0.19331663846969604,1.0262534618377686,0.10000000149011612,0.0040518417954444885,0.1,0.21949699827813116,0.030628982931375504,0.29680711030960083,0.9452222222211719,0.998777777776668,0.21949702501296997,0.21710216999053955,1.066658616065979,0.10000000149011612,0.004341062158346176
60,repvgg_a2,0,0.1,0.1,0.22316470519060944,0.033358074724674225,0.43632984161376953,0.95099999999049,0.99899999999001,0.22316470742225647,0.22224055230617523,1.2121162414550781,0.10000000149011612,0.0049500614404678345,0.1,0.21328508830214007,0.029385168105363846,0.18916308879852295,0.953111111110052,0.998333333332224,0.21328510344028473,0.21245470643043518,1.1911002397537231,0.10000000149011612,0.004799429327249527
61,repvgg_a2,3,0.5,0.1,0.2256576694334105,0.0314461924135685,0.3046913146972656,0.93599999999064,0.99999999999,0.22565773129463196,0.2191709578037262,1.026404619216919,0.10000000149011612,0.0041045453399419785,0.1,0.2090426267182063,0.027657806873321533,0.27811744809150696,0.9384444444434017,0.998333333332224,0.20904262363910675,0.20301766693592072,0.8148588538169861,0.10000000149011612,0.0034167375415563583
62,repvgg_a2,3,0.001,0.1,0.2717458578591711,0.030510354787111282,0.27372488379478455,0.90299999999097,0.99699999999003,0.27174586057662964,0.23817043006420135,0.8135309219360352,0.10000000149011612,0.0034424029290676117,0.1,0.265488887531614,0.023350289091467857,0.11669707298278809,0.9134444444434294,0.998222222221113,0.2654889225959778,0.2344508022069931,0.7300328016281128,0.10000000149011612,0.003191499039530754
63,repvgg_a2,3,1.0,0.1,0.17465811793191616,0.027189383283257484,0.3547750413417816,0.95399999999046,0.99699999999003,0.1746581345796585,0.17195312678813934,0.8243398666381836,0.10000000149011612,0.0032703708857297897,0.1,0.21095633152198393,0.030112791806459427,0.2669045031070709,0.9432222222211741,0.9988888888877789,0.21095633506774902,0.2076658457517624,0.9226679801940918,0.10000000149011612,0.003831269219517708
